book_id,genres
1,young_adult|fiction|dystopian
2,fantasy|young_adult|fiction
3,young_adult|fantasy|vampires
4,classics|historical_fiction|literature
5,classics|fiction|literature
6,young_adult|fiction|romance
7,fantasy|classics|fiction
8,classics|fiction|young_adult
9,fiction|mystery|thriller
10,classics|fiction|romance
11,fiction|historical_fiction|contemporary
12,young_adult|dystopian|fiction
13,fiction|science_fiction|dystopian
14,classics|fiction|dystopian
15,non_fiction|classics|history
16,fiction|mystery|thriller
17,young_adult|dystopian|fantasy
18,fantasy|young_adult|fiction
19,fantasy|classics|fiction
20,young_adult|dystopian|fiction
21,fantasy|childrens|fiction
22,fiction|mystery|young_adult
23,fantasy|young_adult|fiction
24,fantasy|young_adult|fiction
25,fantasy|young_adult|fiction
26,fiction|thriller|suspense
27,fantasy|young_adult|fiction
28,classics|fiction|young_adult
29,classics|plays|fiction
30,mystery|crime|fiction
31,fiction|historical_fiction|historical
32,classics|fiction|literature
33,fiction|historical_fiction|romance
34,romance|fiction|new_adult
35,fiction|classics|fantasy
36,childrens|fiction|classics
37,fantasy|classics|fiction
38,fiction|romance|fantasy
39,fiction|epic_fantasy|fantasy
40,non_fiction|memoir|fiction
41,fantasy|young_adult|mythology
42,classics|fiction|young_adult
43,literature|historical|fiction
44,fiction|chick_lit|romance
45,fantasy|adventure|classics
46,fiction|historical_fiction|romance
47,historical_fiction|fiction|young_adult
48,classics|fiction|science_fiction
49,young_adult|fantasy|romance
50,poetry|childrens|classics
51,young_adult|paranormal|romance
52,young_adult|fantasy|romance
53,fantasy|young_adult|fiction
54,science_fiction|fiction|humor
55,classics|fiction|science_fiction
56,fantasy|young_adult|science_fiction_fantasy
57,fiction|historical_fiction|young_adult
58,classics|fiction|historical_fiction
59,classics|childrens|fiction
60,fiction|young_adult|classics
61,mystery|fiction|thriller
62,fantasy|young_adult|fiction
63,classics|fiction|romance
64,fiction|contemporary|chick_lit
65,classics|fiction|science_fiction
66,classics|historical_fiction|fiction
67,fiction|historical_fiction|contemporary
68,fiction|young_adult|contemporary
69,young_adult|dystopian|fiction
70,science_fiction|fiction|young_adult
71,classics|fiction|horror
72,fiction|fantasy|mystery
73,science_fiction|fiction|dystopian
74,young_adult|fiction|contemporary
75,chick_lit|fiction|romance
76,fiction|historical_fiction|literature
77,young_adult|fiction|childrens
78,chick_lit|fiction|contemporary
79,classics|fiction|poetry
80,fantasy|childrens|classics
81,non_fiction|memoir|biography
82,non_fiction|biography|adventure
83,classics|fiction|historical_fiction
84,science_fiction|fiction|thriller
85,childrens|classics|picture_books
86,fiction|mystery|thriller
87,non_fiction|classics|history
88,young_adult|contemporary|fiction
89,science_fiction_fantasy|young_adult|adult_fiction
90,fiction|young_adult|classics
91,young_adult|dystopian|science_fiction
92,non_fiction|science|psychology
93,classics|fiction|childrens
94,classics|literature|fiction
95,classics|fiction|horror
96,erotica|fiction|contemporary
97,classics|horror|fiction
98,fiction|mystery|crime
99,romance|fiction|contemporary
100,historical_fiction|fiction|classics
101,humor|non_fiction|memoir
102,childrens|picture_books|fiction
103,classics|fiction|historical_fiction
104,science_fiction|dystopian|fiction
105,young_adult|dystopian|fiction
106,non_fiction|humor|memoir
107,drama|adult_fiction|realistic_fiction
108,humor|adult_fiction|contemporary_romance
109,classics|fiction|historical_fiction
110,fantasy|fiction|epic_fantasy
111,fiction|contemporary|adult_fiction
112,romance|fiction|contemporary
113,classics|fiction|war
114,non_fiction|fiction|memoir
115,fiction|historical_fiction|contemporary
116,classics|fiction|adventure
117,fantasy|young_adult|fiction
118,classics|fiction|contemporary
119,fiction|classics|dystopian
120,young_adult|fiction|chick_lit
121,literature|fiction|classics
122,science_fiction_fantasy|adult_fiction|magic
123,fiction|thriller|mystery
124,fiction|contemporary|adult_fiction
125,classics|plays|fiction
126,science_fiction|fiction|fantasy
127,non_fiction|business|psychology
128,biography|non_fiction|business
129,classics|fiction|literature
130,classics|fiction|literature
131,classics|fiction|historical_fiction
132,fiction|contemporary_fiction|literature
133,fiction|young_adult|classics
134,fantasy|young_adult|paranormal
135,fantasy|fiction|epic_fantasy
136,fiction|chick_lit|contemporary
137,historical_fiction|romance|fantasy
138,literature|historical|fiction
139,fantasy|young_adult|fiction
140,fiction|mystery|thriller
141,science_fiction|adventure|science
142,historical_fiction|fiction|historical
143,historical_fiction|fiction|historical
144,non_fiction|history|biography
145,fiction|thriller|mystery
146,fiction|contemporary|literary_fiction
147,young_adult|realistic_fiction|romance
148,historical_fiction|fiction|historical
149,young_adult|romance|contemporary
150,historical_fiction|history|fiction
151,fantasy|young_adult|mythology
152,romance|fiction|chick_lit
153,fantasy|young_adult|paranormal
154,plays|fiction|classics
155,fantasy|classics|fiction
156,chick_lit|romance|fiction
157,childrens|picture_books|classics
158,fiction|childrens|young_adult
159,fantasy|young_adult|mythology
160,classics|fiction|literature
161,fantasy|fiction|classics
162,classics|fiction|philosophy
163,fantasy|young_adult|mythology
164,young_adult|romance|contemporary
165,fantasy|fiction|epic_fantasy
166,young_adult|dystopian|romance
167,fantasy|fiction|urban_fantasy
168,horror|fiction|fantasy
169,romance|fiction|chick_lit
170,fiction|thriller|mystery
171,classics|fiction|romance
172,classics|fiction|romance
173,science_fiction|dystopian|classics
174,fiction|religion|adult_fiction
175,fantasy|young_adult|mythology
176,horror|fiction|fantasy
177,fiction|classics|literature
178,classics|fiction|literary_fiction
179,non_fiction|memoir|biography
180,classics|fiction|philosophy
181,non_fiction|classics|crime
182,young_adult|fantasy|paranormal
183,fantasy|young_adult|paranormal
184,young_adult|childrens|humor
185,fantasy|fiction|romance
186,historical_fiction|fiction|historical
187,young_adult|dystopian|science_fiction
188,fantasy|fiction|epic_fantasy
189,fantasy|classics|fiction
190,non_fiction|memoir|biography
191,graphic_novels|fiction|fantasy
192,fantasy|fiction|epic_fantasy
193,non_fiction|psychology|business
194,classics|fiction|literature
195,historical_fiction|fiction|historical
196,fiction|contemporary|classics
197,fantasy|vampires|paranormal
198,fiction|historical_fiction|classics
199,non_fiction|memoir|biography
200,mystery|classics|fiction
201,fiction|mystery|thriller
202,young_adult|fantasy|paranormal
203,romance|new_adult|contemporary
204,classics|fiction|fantasy
205,fantasy|horror|fiction
206,young_adult|romance|dystopian
207,mystery|fiction|chick_lit
208,non_fiction|science|biography
209,horror|fiction|thriller
210,young_adult|contemporary|horror
211,non_fiction|psychology|business
212,historical_fiction|romance|classics
213,classics|fiction|fantasy
214,fantasy|young_adult|mythology
215,science_fiction|fiction|dystopian
216,fiction|contemporary|adult_fiction
217,non_fiction|history|crime
218,romance|erotica|contemporary
219,childrens|science_fiction_fantasy|magic
220,vampires|young_adult|fantasy
221,non_fiction|memoir|psychology
222,fiction|thriller|mystery
223,fantasy|young_adult|fiction
224,young_adult|fantasy|romance
225,classics|fiction|historical_fiction
226,mystery|fiction|thriller
227,fiction|mystery|thriller
228,chick_lit|fiction|contemporary
229,classics|fantasy|fiction
230,classics|fiction|romance
231,historical_fiction|fiction|historical
232,fantasy|fiction|horror
233,historical_fiction|fiction|classics
234,young_adult|fiction|contemporary
235,mystery|adult_fiction|contemporary_fiction
236,non_fiction|adventure|memoir
237,horror|fiction|paranormal
238,memoir|non_fiction|biography
239,horror|fiction|science_fiction
240,fiction|mystery|thriller
241,fiction|historical_fiction|classics
242,mystery|fiction|thriller
243,horror|fiction|thriller
244,mystery|fiction|thriller
245,young_adult|fiction|childrens
246,young_adult|vampires|fantasy
247,non_fiction|business|psychology
248,classics|plays|fiction
249,fiction|contemporary|historical_fiction
250,young_adult|fiction|realistic_fiction
251,childrens|picture_books|fiction
252,young_adult|fantasy|science_fiction
253,mystery|fiction|crime
254,young_adult|romance|fiction
255,fiction|classics|philosophy
256,non_fiction|memoir|biography
257,classics|fantasy|fiction
258,fiction|historical_fiction|mystery
259,young_adult|dystopian|science_fiction
260,non_fiction|classics|philosophy
261,non_fiction|memoir|fiction
262,mystery|chick_lit|contemporary
263,fantasy|young_adult|fiction
264,classics|fiction|literature
265,classics|historical_fiction|fiction
266,mystery|fiction|thriller
267,historical_fiction|fiction|historical
268,fiction|science_fiction|dystopian
269,romance|chick_lit|fiction
270,classics|fiction|mystery
271,fiction|classics|science_fiction
272,fiction|romance|historical_fiction
273,historical_fiction|fiction|historical
274,fiction|classics|crime
275,young_adult|contemporary|fiction
276,science_fiction|fiction|classics
277,fiction|fantasy|horror
278,poetry|childrens|fiction
279,fantasy|fiction|young_adult
280,romance|fantasy|fiction
281,mystery|suspense|crime
282,fantasy|young_adult|fiction
283,fantasy|fiction|humor
284,classics|fiction|literature
285,contemporary|humor|fiction
286,romance|fiction|chick_lit
287,fiction|classics|philosophy
288,fiction|thriller|suspense
289,classics|fiction|fantasy
290,non_fiction|humor|memoir
291,fiction|historical_fiction|adult_fiction
292,classics|young_adult|childrens
293,classics|fiction|adventure
294,fantasy|young_adult|mythology
295,fiction|historical_fiction|science_fiction
296,childrens|picture_books|fiction
297,fiction|classics|science_fiction
298,classics|science_fiction|fiction
299,memoir|childrens|non_fiction
300,historical_fiction|young_adult|fiction
301,classics|fiction|literature
302,romance|fiction|chick_lit
303,non_fiction|psychology|philosophy
304,fiction|contemporary_fiction|contemporary
305,horror|fiction|thriller
306,fiction|contemporary|contemporary_fiction
307,fantasy|fiction|epic_fantasy
308,chick_lit|romance|fiction
309,fantasy|young_adult|paranormal
310,chick_lit|fiction|romance
311,historical_romance|fiction|historical_fiction
312,fantasy|young_adult|fiction
313,fiction|historical_fiction|historical
314,young_adult|fantasy|fiction
315,non_fiction|business|psychology
316,non_fiction|humor|memoir
317,non_fiction|classics|memoir
318,historical_fiction|fiction|historical
319,fantasy|young_adult|paranormal
320,fiction|humor|contemporary
321,classics|fiction|young_adult
322,fantasy|fiction|urban_fantasy
323,fiction|classics|philosophy
324,young_adult|contemporary|romance
325,fiction|classics|literature
326,fiction|contemporary|contemporary_fiction
327,young_adult|romance|fantasy
328,fiction|contemporary|chick_lit
329,non_fiction|biography|philosophy
330,fantasy|fiction|epic_fantasy
331,fiction|romance|contemporary
332,childrens|classics|magic
333,contemporary|fiction|psychology
334,romance|erotica|contemporary
335,childrens|fantasy|fiction
336,mystery|fiction|crime
337,science_fiction|fiction|humor
338,fiction|romance|contemporary
339,childrens|classics|picture_books
340,young_adult|fantasy|science_fiction
341,classics|poetry|fiction
342,fiction|mystery_thriller|fantasy
343,fiction|thriller|mystery
344,humor|non_fiction|memoir
345,young_adult|fantasy|magic
346,classics|fiction|childrens
347,classics|childrens|adventure
348,young_adult|mystery|fiction
349,vampires|horror|thriller
350,fiction|non_fiction|classics
351,fantasy|young_adult|paranormal
352,non_fiction|memoir|humor
353,classics|plays|drama
354,fiction|classics|historical_fiction
355,fantasy|young_adult|romance
356,fiction|childrens|fantasy
357,classics|fiction|historical_fiction
358,childrens|picture_books|fiction
359,historical_fiction|contemporary|adult_fiction
360,science_fiction|dystopian|science_fiction_fantasy
361,classics|fiction|literature
362,fiction|classics|religion
363,young_adult|romance|contemporary
364,childrens|classics|fiction
365,graphic_novels|comics|fiction
366,history|biography|non_fiction
367,horror|fiction|mystery
368,fantasy|young_adult|fiction
369,young_adult|fiction|realistic_fiction
370,fantasy|young_adult|mythology
371,science_fiction|fiction|classics
372,humor|non_fiction|memoir
373,childrens|fantasy|classics
374,history|non_fiction|science
375,classics|fiction|adventure
376,young_adult|dystopian|science_fiction
377,fantasy|fiction|young_adult
378,contemporary_fiction|fiction|literary_fiction
379,fantasy|fiction|paranormal
380,fiction|romance|contemporary
381,fiction|chick_lit|contemporary
382,young_adult|contemporary|fiction
383,non_fiction|biography|fiction
384,young_adult|vampires|fantasy
385,non_fiction|psychology|science
386,young_adult|fiction|historical_fiction
387,classics|plays|fiction
388,young_adult|fiction|adventure
